	PDF名字	解析结果
228	"03606-福耀玻璃-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (479KB, PDF).pdf"	无
229	"03618-重慶農村商業銀行-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (197KB, PDF).pdf"	无
230	"03636-保利文化-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (493KB, PDF).pdf"	无
231	"03666-國際天食-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (266KB, PDF).pdf"	无
232	"03669-永達汽車-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (383KB, PDF).pdf"	无
233	"03788-中國罕王-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (470KB, PDF).pdf"	无
234	"03903-瀚華金控-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (513KB, PDF).pdf"	无
235	"03908-中金公司-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (220KB, PDF).pdf"	无
236	"03919-金力集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (123KB, PDF).pdf"	无
237	"03969-中國通號-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (481KB, PDF).pdf"	无
238	"03998-波司登-月報表截至2018年9月30日止的股份發行人的證券變動月報表 (479KB, PDF).pdf"	无
239	"06036-光麗科技-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (462KB, PDF).pdf"	无
240	"06066-中信建投証券-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (507KB, PDF).pdf"	无
241	"06088-FIT HON TENG-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (561KB, PDF).pdf"	有数据请查看
242	"06099-招商證券-月報表截至二零一八年九月三十日止月份股份發行人的證券變動月報表 (521KB, PDF).pdf"	无
243	"06100-有才天下獵聘-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (476KB, PDF).pdf"	无
244	"06108-新銳醫藥-月報表股份發行人的證券變動月報表 (120KB, PDF).pdf"	无
245	"06122-九台農商銀行-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (540KB, PDF).pdf"	无
246	"06123-圓通速遞國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (479KB, PDF).pdf"	无
247	"06138-哈爾濱銀行-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (492KB, PDF).pdf"	无
248	"06163-彭順國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (501KB, PDF).pdf"	无
249	"06178-光大證券-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (219KB, PDF).pdf"	无
250	"06189-愛得威建設集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (257KB, PDF).pdf"	无
251	"06190-九江銀行-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (221KB, PDF).pdf"	无
252	"06823-香港電訊－ＳＳ-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (473KB, PDF).pdf"	无
253	"06858-本間高爾夫-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (459KB, PDF).pdf"	无
254	"06862-海底撈-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (558KB, PDF).pdf"	无
255	"06888-英達公路再生科技-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (556KB, PDF).pdf"	无
256	"06893-衍生集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (504KB, PDF).pdf"	无
257	"06896-金嗓子-月報表二零一八年九月三十日止月份之股份發行人的證券變動月報表 (492KB, PDF).pdf"	无
258	"07200-ＦＬ二南方恒指-月報表月報表 - 2018年09月30日 (200KB, PDF).pdf"	无
259	"07288-ＦＬ二南方國指-月報表月報表 - 2018年09月30日 (206KB, PDF).pdf"	无
260	"07300-ＦＩ南方恒指-月報表月報表 - 2018年09月30日 (208KB, PDF).pdf"	无
261	"07388-ＦＩ南方國指-月報表月報表 - 2018年09月30日 (213KB, PDF).pdf"	无
262	"08019-皓文控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (416KB, PDF).pdf"	无
263	"08039-中國卓銀-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (486KB, PDF).pdf"	无
264	"08041-薈萃國際（控股）-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (446KB, PDF).pdf"	无
265	"08075-寰亞傳媒-月報表截至二零一八年九月三十日之證券變動月報表 (442KB, PDF).pdf"	无
266	"08076-新利軟件-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (220KB, PDF).pdf"	无
267	"08089-華人策略控股-月報表股份發行人的證券變動月報表 (494KB, PDF).pdf"	无
268	"08106-升華蘭德-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (468KB, PDF).pdf"	无
269	"08113-揚宇科技-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (172KB, PDF).pdf"	无
270	"08142-德利機械-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (519KB, PDF).pdf"	无
271	"08153-科地農業-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (116KB, PDF).pdf"	无
272	"08159-輝煌科技-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (272KB, PDF).pdf"	无
273	"08172-拉近網娛-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (468KB, PDF).pdf"	无
274	"08175-中國數碼文化-月報表截至2018年9月30日止股份發行人的證券變動月報表 (3269KB, PDF).pdf"	无
275	"08182-中國糖果-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (456KB, PDF).pdf"	无
276	"08199-中國萬桐園-月報表股份發行人的證券變動月報表截至二零一八年九月三十日 (476KB, PDF).pdf"	无
277	"08210-衍匯亞洲-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (116KB, PDF).pdf"	无
278	"08227-西安海天天-月報表證券變動月報表 - 2018年9月份 (187KB, PDF).pdf"	无
279	"08238-惠陶集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (470KB, PDF).pdf"	无
280	"08241-英記茶莊集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (463KB, PDF).pdf"	无
281	"08266-卓信國際控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (462KB, PDF).pdf"	无
282	"08278-CMON-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (514KB, PDF).pdf"	无
283	"08296-中國生命集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (583KB, PDF).pdf"	无
284	"08299-大唐潼金-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (294KB, PDF).pdf"	无
285	"08307-密迪斯肌-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (511KB, PDF).pdf"	有数据请查看
286	"08309-萬成環球控股-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (138KB, PDF).pdf"	无
287	"08320-沛然環保-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (518KB, PDF).pdf"	无
288	"08405-恒智控股-月報表截至2018年9月30日之股份發行人的證券變動月報表 (402KB, PDF).pdf"	无
289	"08410-安領國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (472KB, PDF).pdf"	无
290	"08422-ＷＴ集團-月報表截至2018年9月30日股份發行人的證券變動月報表 (468KB, PDF).pdf"	无
291	"08437-德斯控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (621KB, PDF).pdf"	无
292	"08445-怡康泰工程集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (198KB, PDF).pdf"	无
293	"08448-環球印館-月報表股份發行人的證券變動月報表 (516KB, PDF).pdf"	无
294	"08451-日光控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (449KB, PDF).pdf"	无
295	"08463-TOMO HOLDINGS-月報表股份發行人的證券變動月報表截至二零一八年九月三十日 (627KB, PDF).pdf"	无
296	"08606-倢冠控股-月報表截止至2018年9月30日股份發行人的證券變動月報表 (553KB, PDF).pdf"	无
297	"82822-南方Ａ５０－Ｒ-月報表月報表 - 2018年09月30日 (185KB, PDF).pdf"	无
298	"83053-南方港元貨幣－Ｒ-月報表月報表 - 2018年09月30日 (194KB, PDF).pdf"	无
299	"83122-南方東英短債－Ｒ-月報表月報表 - 2018年09月30日 (193KB, PDF).pdf"	无
300	"83129-南方三百精明－Ｒ-月報表月報表 - 2018年09月30日 (192KB, PDF).pdf"	无
301	"83137-南方中華８０－Ｒ-月報表月報表 - 2018年09月30日 (185KB, PDF).pdf"	无
302	"83147-南方中創業板－Ｒ-月報表AUG2018 (195KB, PDF).pdf"	无
303	"83149-南方ＭＳＣＩ－Ｒ-月報表月報表 - 2018年09月30日 (200KB, PDF).pdf"	无
304	"83199-南方五年國債－Ｒ-月報表月報表 - 2018年09月30日 (190KB, PDF).pdf"	无
